Date;Libelle;Montant;Solde
02/06/2026;VIR SALAIRE ENTREPRISE MARTIN;2450,00;3650,00
03/06/2026;PRLV LOYER APPARTEMENT;-820,00;2830,00
04/06/2026;PRLV ORANGE MOBILE;-19,99;2810,01
06/06/2026;CARTE 04/06 CARREFOUR CITY;-68,40;2741,61
09/06/2026;CARTE 07/06 BOULANGERIE DUPAIN;-8,60;2733,01
12/06/2026;CARTE 11/06 MONOPRIX;-54,20;2678,81
14/06/2026;CARTE 13/06 RESTAURANT LE PETIT;-32,50;2646,31
17/06/2026;CARTE 16/06 SNCF CONNECT;-45,00;2601,31
20/06/2026;PRLV ASSURANCE HABITATION;-24,50;2576,81
22/06/2026;VIR THOMAS BERNARD;-60,00;2516,81
25/06/2026;FRAIS TENUE DE COMPTE;-2,00;2514,81
28/06/2026;VIR LIVRET A;-300,00;2214,81
